epoch,loss,grad_norm,learning_rate
0.13,6.0171,12.3125,4.834261469106338e-05
0.27,2.9033,12.0,4.668522938212676e-05
0.4,2.132,8.4375,4.502784407319014e-05
0.53,1.9383,9.0,4.3370458764253514e-05
0.66,1.8475,8.9375,4.1713073455316894e-05
0.8,1.83,8.25,4.0055688146380274e-05
0.93,1.7904,9.25,3.8398302837443653e-05
1.06,1.809,9.4375,3.6740917528507026e-05
1.19,1.7885,7.125,3.5083532219570406e-05
1.33,1.7931,7.59375,3.3426146910633786e-05
1.46,1.7918,8.4375,3.1768761601697165e-05
1.59,1.7798,6.6875,3.0111376292760542e-05
1.72,1.7785,8.6875,2.8453990983823918e-05
1.86,1.7738,8.875,2.6796605674887298e-05
1.99,1.7822,9.25,2.5139220365950677e-05
2.12,1.7845,7.0625,2.3481835057014057e-05
2.25,1.7726,9.5,2.1824449748077433e-05
2.39,1.7603,8.875,2.0167064439140813e-05
2.52,1.7717,9.375,1.850967913020419e-05
2.65,1.7927,9.8125,1.685229382126757e-05
2.78,1.7861,6.625,1.5194908512330947e-05
2.92,1.7877,7.5,1.3537523203394325e-05
3.05,1.7841,7.875,1.1880137894457705e-05
3.18,1.7762,8.375,1.0222752585521083e-05
3.31,1.7844,7.8125,8.56536727658446e-06
3.45,1.7842,8.8125,6.907981967647839e-06
3.58,1.778,7.875,5.250596658711218e-06
3.71,1.7899,7.71875,3.5932113497745957e-06
